,location,date,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
127,동두천,2014-05-08,14.6,10.6,21.2,15.0,6.8,2.8
128,동두천,2014-05-09,15.1,8.1,24.0,0.0,4.2,1.1
129,동두천,2014-05-10,18.8,8.4,28.3,0.0,3.4,1.1
130,동두천,2014-05-11,16.9,11.5,23.1,27.7,4.8,1.9
131,동두천,2014-05-12,15.3,12.0,19.7,12.8,7.7,3.8
132,동두천,2014-05-13,18.1,10.1,25.9,0.0,7.1,2.0
133,동두천,2014-05-14,19.0,13.6,26.1,0.0,5.4,2.3
134,동두천,2014-05-15,18.2,13.6,25.7,0.8,9.2,3.2
135,동두천,2014-05-16,17.8,9.3,26.4,0.0,5.4,2.0
136,동두천,2014-05-17,18.8,10.7,27.1,0.0,5.5,1.5
137,동두천,2014-05-18,19.0,11.0,27.4,0.0,4.5,1.5
138,동두천,2014-05-19,18.5,11.0,27.1,0.0,5.6,1.7
139,동두천,2014-05-20,20.2,13.0,28.4,0.0,5.2,1.5
140,동두천,2014-05-21,19.9,14.2,28.5,0.0,7.2,2.3
141,동두천,2014-05-22,20.5,12.7,28.8,0.0,4.6,1.5
142,동두천,2014-05-23,20.7,15.1,29.1,0.0,4.7,1.8
143,동두천,2014-05-24,20.7,16.3,27.3,0.0,4.9,1.5
144,동두천,2014-05-25,19.7,17.3,25.7,20.8,5.1,1.4
145,동두천,2014-05-26,19.1,15.6,24.6,0.3,7.2,3.0
146,동두천,2014-05-27,22.4,14.7,29.0,0.0,6.0,2.9
147,동두천,2014-05-28,23.1,16.0,30.6,0.0,4.4,1.9
148,동두천,2014-05-29,22.5,16.0,31.5,0.0,6.5,1.8
149,동두천,2014-05-30,23.3,14.1,32.2,0.0,3.9,1.3
150,동두천,2014-05-31,24.5,16.2,33.4,0.0,4.8,1.7
151,동두천,2014-06-01,23.2,17.5,29.2,0.0,3.0,1.0
152,동두천,2014-06-02,21.3,19.1,25.1,2.0,4.5,1.6
153,동두천,2014-06-03,19.3,17.8,22.2,9.2,3.2,1.4
154,동두천,2014-06-04,22.0,16.4,28.1,0.0,3.9,1.8
155,동두천,2014-06-05,22.1,19.1,26.2,0.0,2.7,1.3
156,동두천,2014-06-06,24.3,16.2,33.3,0.0,4.6,1.5
157,동두천,2014-06-07,22.5,18.0,28.4,0.0,4.3,1.4
158,동두천,2014-06-08,21.4,18.2,25.1,0.0,5.7,1.7
159,동두천,2014-06-09,23.1,17.2,30.2,0.0,4.8,1.3
160,동두천,2014-06-10,22.6,18.2,31.0,2.1,6.3,1.6
161,동두천,2014-06-11,20.2,16.4,29.7,24.7,5.2,1.6
162,동두천,2014-06-12,20.2,14.6,28.9,0.0,5.7,1.6
163,동두천,2014-06-13,20.4,16.2,26.4,3.9,4.6,1.1
164,동두천,2014-06-14,21.6,16.9,28.3,0.0,5.1,1.8
165,동두천,2014-06-15,22.6,16.7,29.2,0.0,5.1,1.8
166,동두천,2014-06-16,22.9,16.5,28.7,0.0,4.3,1.5
167,동두천,2014-06-17,22.7,18.7,31.3,21.9,7.1,1.5
168,동두천,2014-06-18,22.9,17.6,28.6,0.0,5.1,1.7
169,동두천,2014-06-19,21.8,20.0,25.0,0.2,6.0,2.4
170,동두천,2014-06-20,22.7,19.0,27.5,0.6,3.4,1.2
171,동두천,2014-06-21,22.1,18.5,27.8,0.2,3.6,1.4
172,동두천,2014-06-22,21.9,18.4,29.4,0.2,3.9,1.1
173,동두천,2014-06-23,20.0,17.6,25.4,6.4,4.9,1.0
174,동두천,2014-06-24,22.2,17.6,28.3,0.0,5.4,1.5
175,동두천,2014-06-25,23.0,17.1,29.3,0.0,4.7,1.5
176,동두천,2014-06-26,23.6,18.3,29.7,0.0,4.5,1.5
177,동두천,2014-06-27,23.2,19.0,29.8,0.0,5.5,1.6
178,동두천,2014-06-28,22.3,19.6,27.3,5.5,5.2,1.7
179,동두천,2014-06-29,23.6,18.8,29.4,0.0,3.2,1.2
180,동두천,2014-06-30,24.6,18.9,29.9,0.0,4.6,1.5
181,동두천,2014-07-01,25.5,18.4,32.2,0.0,4.3,1.5
182,동두천,2014-07-02,24.8,20.8,31.8,37.4,5.4,1.4
183,동두천,2014-07-03,20.5,19.8,21.8,3.8,3.6,1.4
184,동두천,2014-07-04,24.8,19.2,31.8,0.0,3.6,1.4
185,동두천,2014-07-05,24.9,19.9,29.7,0.0,3.3,1.1
186,동두천,2014-07-06,25.2,20.3,31.9,0.0,4.2,1.3
