,location,stdt,eddt,damagearea
321,경기남양주,2020-04-10,2020-04-10,0.3
322,경기여주,2020-04-11,2020-04-11,0.01
323,경기광주,2020-04-12,2020-04-12,0.06
324,경기평택,2020-04-12,2020-04-12,0.03
325,경기광주,2020-04-12,2020-04-12,0.06
326,경기고양,2020-04-12,2020-04-12,0.06
327,경기평택,2020-04-13,2020-04-13,0.05
328,경기남양주,2020-04-13,2020-04-13,0.1
329,경기오산,2020-04-13,2020-04-13,0.01
330,경기가평,2020-04-13,2020-04-13,2.75
331,경기남양주,2020-04-14,2020-04-14,0.5
332,경기남양주,2020-04-14,2020-04-14,0.7
333,경기수원,2020-04-14,2020-04-14,3.56
334,경기시흥,2020-04-14,2020-04-14,0.13
335,경기과천,2020-04-14,2020-04-14,0.07
336,경기용인,2020-04-08,2020-04-08,0.09
337,경기광주,2020-04-14,2020-04-14,0.01
338,경기평택,2020-04-15,2020-04-15,0.25
339,경기평택,2020-04-15,2020-04-15,0.03
340,경기안성,2020-04-15,2020-04-15,0.1
341,경기안성,2020-04-15,2020-04-15,0.02
342,경기여주,2020-04-15,2020-04-16,0.1
343,경기화성,2020-04-16,2020-04-16,0.01
344,경기군포,2020-04-16,2020-04-16,0.03
345,경기시흥,2020-04-16,2020-04-16,0.15
346,경기화성,2020-04-18,2020-04-18,0.01
347,경기화성,2020-04-18,2020-04-18,0.01
348,경기여주,2020-04-22,2020-04-22,0.01
349,경기포천,2020-04-26,2020-04-26,0.5
350,경기여주,2020-04-26,2020-04-26,0.01
351,경기군포,2020-04-26,2020-04-26,0.33
352,경기연천,2020-04-27,2020-04-27,0.1
353,경기가평,2020-04-27,2020-04-27,0.02
354,경기연천,2020-04-28,2020-04-28,0.1
355,경기이천,2020-04-28,2020-04-28,0.05
356,경기화성,2020-04-29,2020-04-29,0.01
357,경기용인,2020-04-29,2020-04-29,0.05
358,경기포천,2020-04-29,2020-04-29,0.2
359,경기용인,2020-04-30,2020-04-30,0.01
360,경기포천,2020-04-30,2020-04-30,0.12
361,경기남양주,2020-04-30,2020-04-30,0.1
362,경기가평,2020-04-30,2020-04-30,0.59
363,경기성남,2020-05-01,2020-05-01,0.01
364,경기남양주,2020-05-06,2020-05-06,0.03
365,경기포천,2020-05-07,2020-05-07,0.02
366,경기안성,2020-05-08,2020-05-08,0.1
367,경기이천,2020-06-08,2020-06-08,0.02
368,경기양평,2020-06-09,2020-06-09,0.04
369,경기하남,2020-06-09,2020-06-09,0.01
370,경기안성,2020-06-09,2020-06-09,0.1
371,경기남양주,2020-06-14,2020-06-14,0.02
372,경기화성,2020-06-16,2020-06-16,0.01
373,경기김포,2020-06-20,2020-06-20,0.02
374,경기고양,2020-06-20,2020-06-20,0.01
375,경기의왕,2020-06-21,2020-06-21,0.06
376,경기하남,2020-06-22,2020-06-22,0.07
377,경기광명,2020-06-23,2020-06-23,0.01
378,경기광명,2020-06-23,2020-06-23,0.01
379,경기가평,2020-10-07,2020-10-07,0.01
380,경기가평,2020-10-17,2020-10-17,0.01
381,경기군포,2020-10-19,2020-10-19,0.4
382,경기광주,2020-10-28,2020-10-28,0.1
383,경기화성,2020-10-29,2020-10-29,0.03
384,경기양평,2020-10-29,2020-10-29,0.1
385,경기의정부,2020-10-30,2020-10-30,0.04
386,경기파주,2020-10-31,2020-10-31,0.06
387,경기김포,2020-10-31,2020-10-31,0.05
388,경기성남,2020-11-04,2020-11-04,0.03
389,경기포천,2020-11-08,2020-11-08,0.01
390,경기양주,2020-11-08,2020-11-08,0.03
391,경기포천,2020-12-01,2020-12-01,0.05
392,경기파주,2020-12-02,2020-12-02,0.01
393,경기동두천,2020-12-04,2020-12-04,0.15
394,경기안성,2020-12-04,2020-12-04,0.05
395,경기포천,2020-12-06,2020-12-06,0.01
396,경기여주,2020-12-07,2020-12-07,0.16
397,경기고양,2020-12-07,2020-12-07,0.02
398,경기화성,2020-12-09,2020-12-09,0.07
399,경기하남,2020-01-30,2020-01-30,0.03
400,경기시흥,2020-02-01,2020-02-01,0.03
401,경기안성,2020-02-04,2020-02-04,0.06
402,경기용인,2020-02-04,2020-02-04,0.2
403,경기여주,2020-02-05,2020-02-05,0.09
404,경기파주,2020-02-08,2020-02-08,0.01
405,경기파주,2020-02-08,2020-02-08,0.03
406,경기성남,2020-02-09,2020-02-09,0.01
407,경기평택,2020-02-10,2020-02-10,0.01
408,경기파주,2020-02-11,2020-02-11,0.03
409,경기동두천,2020-02-11,2020-02-11,0.2
410,경기여주,2020-02-11,2020-02-11,0.06
411,경기파주,2020-02-24,2020-02-24,0.01
412,경기광명,2020-02-24,2020-02-24,0.01
413,경기파주,2020-03-04,2020-03-04,0.07
414,경기양평,2020-03-05,2020-03-05,0.03
415,경기이천,2020-03-05,2020-03-05,0.01
416,경기이천,2020-03-06,2020-03-06,0.2
417,경기김포,2020-03-07,2020-03-07,0.14
418,경기고양,2020-03-07,2020-03-07,0.02
419,경기남양주,2020-03-07,2020-03-07,0.15
420,경기양평,2020-03-08,2020-03-08,0.09
421,경기남양주,2020-03-09,2020-03-09,0.1
422,경기파주,2020-03-09,2020-03-09,0.01
423,경기안성,2020-03-09,2020-03-09,0.01
424,경기화성,2020-03-12,2020-03-12,0.03
425,경기시흥,2020-03-14,2020-03-14,0.03
426,경기양평,2020-03-14,2020-03-14,0.04
427,경기포천,2020-03-15,2020-03-15,0.1
428,경기광명,2020-03-15,2020-03-15,0.04
429,경기여주,2020-03-15,2020-03-15,0.9
430,경기안성,2020-03-15,2020-03-15,0.8
431,경기안양,2020-03-16,2020-03-16,0.07
432,경기양평,2020-03-16,2020-03-16,0.08
433,경기남양주,2020-03-17,2020-03-17,0.15
434,경기파주,2020-03-18,2020-03-18,0.03
435,경기광주,2020-03-19,2020-03-19,0.01
436,경기구리,2020-03-19,2020-03-19,1.0
437,경기광주,2020-03-19,2020-03-19,0.16
438,경기파주,2020-03-20,2020-03-20,0.02
439,경기남양주,2020-03-21,2020-03-21,0.17
440,경기안성,2020-03-21,2020-03-21,0.1
441,경기양평,2020-03-21,2020-03-21,0.01
442,경기포천,2020-03-21,2020-03-21,0.11
443,경기여주,2020-03-22,2020-03-22,0.04
444,경기광주,2020-11-03,2020-11-03,0.06
445,경기가평,2020-11-05,2020-11-05,0.03
446,경기수원,2020-11-07,2020-11-07,0.03
447,경기양평,2020-11-08,2020-11-08,0.03
448,경기동두천,2020-11-08,2020-11-08,0.5
449,경기가평,2020-11-08,2020-11-08,1.4
450,경기포천,2020-11-08,2020-11-08,0.03
451,경기포천,2020-11-08,2020-11-08,0.1
452,경기남양주,2020-11-08,2020-11-09,0.05
453,경기가평,2020-11-09,2020-11-09,0.18
454,경기가평,2020-11-10,2020-11-10,3.0
455,경기김포,2020-11-14,2020-11-14,0.26
456,경기파주,2020-11-14,2020-11-14,0.06
457,경기광주,2020-11-14,2020-11-14,0.06
458,경기포천,2020-11-15,2020-11-15,0.07
459,경기성남,2020-11-16,2020-11-16,0.01
460,경기양평,2020-11-17,2020-11-17,0.01
461,경기화성,2020-12-09,2020-12-09,0.01
462,경기평택,2020-12-09,2020-12-09,0.01
463,경기의왕,2020-12-10,2020-12-10,0.01
464,경기화성,2020-12-12,2020-12-13,0.01
465,경기양평,2020-12-19,2020-12-19,0.15
466,경기안양,2020-12-23,2020-12-23,0.06
467,경기광주,2020-12-24,2020-12-24,0.05
468,경기남양주,2020-12-24,2020-12-24,0.01
469,경기평택,2020-12-27,2020-12-27,0.03
470,경기양평,2018-11-19,2018-11-19,0.06
471,경기가평,2018-11-20,2018-11-20,0.1
472,경기시흥,2018-12-08,2018-12-08,3.0
473,경기용인,2018-02-04,2018-02-05,0.15
474,경기화성,2018-02-05,2018-02-05,0.01
475,경기하남,2018-02-06,2018-02-06,0.04
476,경기화성,2018-02-10,2018-02-10,0.2
477,경기양주,2018-02-11,2018-02-11,0.06
478,경기광주,2018-02-13,2018-02-13,0.01
479,경기남양주,2018-02-13,2018-02-13,0.06
480,경기포천,2018-02-16,2018-02-16,0.5
481,경기가평,2018-02-17,2018-02-17,0.3
482,경기안성,2018-02-17,2018-02-17,0.06
483,경기화성,2018-02-19,2018-02-19,0.01
484,경기화성,2018-02-25,2018-02-25,0.6
485,경기파주,2018-02-26,2018-02-26,0.1
486,경기파주,2018-02-26,2018-02-26,0.08
487,경기파주,2018-02-26,2018-02-26,0.09
488,경기양평,2018-03-11,2018-03-11,0.06
489,경기시흥,2018-03-11,2018-03-11,0.1
490,경기화성,2018-03-12,2018-03-12,0.03
491,경기광주,2018-03-12,2018-03-12,0.01
492,경기화성,2018-03-13,2018-03-13,0.16
493,경기파주,2018-03-13,2018-03-13,0.16
494,경기평택,2018-03-13,2018-03-13,0.08
495,경기안성,2018-03-14,2018-03-14,0.16
496,경기양평,2018-03-23,2018-03-23,0.1
497,경기파주,2018-03-25,2018-03-25,0.09
498,경기양주,2018-03-25,2018-03-25,0.16
499,경기양평,2018-03-26,2018-03-26,0.5
500,경기안성,2018-03-28,2018-03-28,0.07
501,경기파주,2018-03-28,2018-03-28,0.03
502,경기남양주,2018-03-29,2018-03-29,0.01
503,경기남양주,2018-03-30,2018-03-30,0.06
504,경기가평,2018-03-30,2018-03-30,0.5
505,경기포천,2018-03-30,2018-03-30,1.5
506,경기남양주,2018-03-30,2018-03-30,0.1
507,경기수원,2018-03-31,2018-03-31,0.01
508,경기여주,2018-03-31,2018-03-31,0.5
509,경기화성,2018-04-02,2018-04-02,0.09
510,경기여주,2018-04-03,2018-04-03,0.5
511,경기남양주,2018-04-07,2018-04-07,0.03
512,경기고양,2018-04-10,2018-04-10,0.5
513,경기포천,2018-04-12,2018-04-12,0.1
514,경기여주,2018-04-13,2018-04-13,0.5
515,경기양평,2018-04-17,2018-04-17,0.1
516,경기광주,2018-04-20,2018-04-20,0.15
517,경기양평,2018-04-21,2018-04-21,0.6
