damagearea,avg_temp,min_temp,max_temp,rainfall,max_wind_speed,avg_wind
0.0005918327086210297,0.4,-5.8,5.2,0.0,2.1,0.6
0.0007891102781613729,-3.4,-10.7,0.4,0.0,3.8,1.4
0.0,-3.1,-11.1,4.3,0.0,4.8,1.4
0.016768593410929174,-6.7,-11.2,0.3,0.0,3.2,1.7
0.002170053264943775,-4.9,-11.2,0.5,0.0,2.8,1.2
0.000986387847701716,-2.5,-7.5,3.1,0.0,4.9,2.0
0.00019727756954034323,-4.4,-11.0,1.8,0.0,4.4,1.3
0.002761885973564805,-1.4,-4.9,3.8,0.0,4.8,2.2
0.015584927993687115,-2.2,-9.4,5.8,0.0,3.8,1.2
0.0,-0.9,-7.2,6.0,0.0,2.9,0.9
0.0037482738212665213,4.6,-3.0,14.4,0.0,2.9,0.9
0.0015782205563227457,4.3,-2.9,13.8,0.0,3.5,1.0
0.0,4.2,-3.5,11.9,0.0,3.8,1.4
0.0003945551390806864,4.3,-4.4,12.8,0.0,2.7,0.9
0.0007891102781613729,5.6,-2.6,14.2,0.0,3.0,0.8
0.0029591635431051484,5.6,-2.6,14.2,0.0,3.0,0.8
0.0037482738212665213,5.6,-3.0,15.3,0.0,2.7,1.0
0.000986387847701716,7.5,-1.9,16.8,0.0,2.8,0.7
0.0,7.5,-1.9,16.8,0.0,2.8,0.7
0.0,8.1,-1.2,16.6,0.0,3.7,1.0
0.001775498125863089,7.5,-1.9,16.8,0.0,2.8,0.7
0.0003945551390806864,6.9,-2.5,16.2,0.0,2.3,0.9
0.000986387847701716,8.5,1.2,17.1,0.0,4.7,1.4
0.001775498125863089,7.7,3.0,15.9,0.0,4.1,1.4
0.019530479384493978,6.9,1.8,13.3,0.0,5.8,1.4
0.0,7.2,3.2,12.4,0.0,3.5,1.5
0.000986387847701716,7.2,3.2,12.4,0.0,3.5,1.5
0.0003945551390806864,5.7,-0.1,13.8,0.0,6.5,1.8
0.005721049516669954,6.4,0.8,14.2,0.0,5.3,1.9
0.0,4.6,-2.4,12.3,0.0,4.5,1.5
0.002761885973564805,7.0,1.9,13.8,0.0,4.7,1.8
0.0003945551390806864,5.1,-2.5,14.3,0.0,4.3,1.3
0.001775498125863089,5.1,-2.5,14.3,0.0,4.3,1.3
0.001775498125863089,4.8,-1.3,13.8,0.0,3.9,1.6
0.0,5.3,-3.7,14.5,0.0,3.7,1.6
