No,Column1,location,stdt,eddt,damagearea,경도,위도,상태
105,104,경기광주,2019-05-04,2019-05-04,0.01,127.2917767,37.4004581,인근좌표
106,105,경기양평,2019-05-06,2019-05-06,0.15,127.5810959,37.51899594,인근좌표
107,106,경기동두천,2019-05-07,2019-05-07,0.09,127.0669893,37.92058118,인근좌표
108,107,경기포천,2019-05-07,2019-05-07,1,127.237579,37.96766787,인근좌표
109,108,경기여주,2019-05-07,2019-05-07,1.5,127.644285,37.28762711,인근좌표
110,109,경기가평,2019-05-07,2019-05-07,0.01,127.4076594,37.8112458,인근좌표
111,110,경기화성,2019-05-08,2019-05-08,0.09,126.9162557,37.15266119,인근좌표
112,111,경기고양,2019-05-08,2019-05-08,0.01,126.8993676,37.66019018,인근좌표
113,112,경기가평,2019-05-08,2019-05-08,0.01,127.4076594,37.8112458,인근좌표
114,113,경기파주,2019-05-09,2019-05-09,0.01,126.8077119,37.84944357,인근좌표
115,114,경기화성,2019-05-10,2019-05-10,0.06,126.9162557,37.15266119,인근좌표
116,115,경기화성,2019-05-11,2019-05-11,0.09,126.9162557,37.15266119,인근좌표
117,116,경기화성,2019-05-11,2019-05-11,0.06,126.9162557,37.15266119,인근좌표
118,117,경기동두천,2019-05-11,2019-05-11,2,127.0669893,37.92058118,인근좌표
119,118,경기양평,2019-05-11,2019-05-11,0.02,127.5810959,37.51899594,인근좌표
120,119,경기가평,2019-05-11,2019-05-11,0.2,127.4076594,37.8112458,인근좌표
121,120,경기남양주,2019-05-12,2019-05-12,0.01,127.2580035,37.64296989,인근좌표
122,121,경기파주,2019-05-12,2019-05-12,0.08,126.8077119,37.84944357,인근좌표
123,122,경기평택,2019-05-13,2019-05-13,0.02,127.0037131,37.02303199,인근좌표
124,123,경기평택,2019-05-13,2019-05-13,0.01,127.0037131,37.02303199,인근좌표
125,124,경기양평,2019-05-14,2019-05-14,0.15,127.5810959,37.51899594,인근좌표
126,125,경기남양주,2019-05-15,2019-05-15,0.01,127.2580035,37.64296989,인근좌표
127,126,경기남양주,2019-05-17,2019-05-17,0.01,127.2580035,37.64296989,인근좌표
128,127,경기수원,2019-05-18,2019-05-18,0.04,127.0029967,37.31811976,인근좌표
129,128,경기안산,2019-05-18,2019-05-18,0.1,126.8574791,37.32275536,인근좌표
130,129,경기가평,2019-05-18,2019-05-18,0.01,127.4076594,37.8112458,인근좌표
131,130,경기여주,2019-05-22,2019-05-22,0.5,127.644285,37.28762711,인근좌표
132,131,경기파주,2019-05-24,2019-05-24,0.05,126.8077119,37.84944357,인근좌표
133,132,경기이천,2019-05-26,2019-05-26,0.01,127.4520008,37.20146617,인근좌표
134,133,경기가평,2019-05-29,2019-05-29,0.02,127.4076594,37.8112458,인근좌표
135,134,경기남양주,2019-06-03,2019-06-03,0.1,127.2580035,37.64296989,인근좌표
136,135,경기안성,2019-06-04,2019-06-04,0.03,127.3059003,37.02476089,인근좌표
137,136,경기성남,2019-06-04,2019-06-04,0.01,127.1037334,37.43511843,인근좌표
138,137,경기화성,2019-06-25,2019-06-25,0.09,126.9162557,37.15266119,인근좌표
139,138,경기남양주,2019-07-04,2019-07-04,0.1,127.2580035,37.64296989,인근좌표
140,139,경기성남,2019-07-08,2019-07-08,0.03,127.1037334,37.43511843,인근좌표
141,140,경기하남,2019-07-08,2019-07-08,0.03,127.2110935,37.5303375,인근좌표
142,141,경기포천,2019-07-09,2019-07-09,0.2,127.237579,37.96766787,인근좌표
143,142,경기남양주,2021-01-01,2021-01-01,0.03,127.2580035,37.64296989,인근좌표
144,143,경기광주,2021-01-01,2021-01-01,0.07,127.2917767,37.4004581,인근좌표
145,144,경기파주,2021-01-02,2021-01-02,0.03,126.8077119,37.84944357,인근좌표
146,145,경기고양,2021-01-02,2021-01-02,0.01,126.8993676,37.66019018,인근좌표
147,146,경기포천,2021-01-03,2021-01-03,0.03,127.237579,37.96766787,인근좌표
148,147,경기의정부,2021-01-05,2021-01-05,0.05,127.0666545,37.73305139,인근좌표
149,148,경기남양주,2021-01-01,2021-01-01,0.03,127.2580035,37.64296989,인근좌표
150,149,경기광주,2021-01-01,2021-01-01,0.07,127.2917767,37.4004581,인근좌표
151,150,경기파주,2021-01-02,2021-01-02,0.03,126.8077119,37.84944357,인근좌표
152,151,경기고양,2021-01-02,2021-01-02,0.01,126.8993676,37.66019018,인근좌표
153,152,경기포천,2021-01-03,2021-01-03,0.03,127.237579,37.96766787,인근좌표
154,153,경기의정부,2021-01-05,2021-01-05,0.05,127.0666545,37.73305139,인근좌표
155,154,경기양평,2021-01-06,2021-01-06,0.01,127.5810959,37.51899594,인근좌표
156,155,경기김포,2021-01-06,2021-01-06,0.02,126.6015557,37.68465337,인근좌표
157,156,경기파주,2021-11-04,2021-11-04,0.03,126.8077119,37.84944357,인근좌표
158,157,경기화성,2021-11-05,2021-11-05,0.03,126.9162557,37.15266119,인근좌표
159,158,경기안양,2021-11-06,2021-11-06,0.03,126.9027706,37.40454384,인근좌표
160,159,경기평택,2021-11-07,2021-11-07,0.1,127.0037131,37.02303199,인근좌표
161,160,경기고양,2021-12-04,2021-12-04,0.03,126.8993676,37.66019018,인근좌표
162,161,경기포천,2021-02-12,2021-02-12,0.02,127.237579,37.96766787,인근좌표
163,162,경기용인,2021-02-12,2021-02-12,0.02,127.2400364,37.22209372,인근좌표
164,163,경기양평,2021-02-12,2021-02-12,0.06,127.5810959,37.51899594,인근좌표
165,164,경기파주,2021-02-12,2021-02-12,0.02,126.8077119,37.84944357,인근좌표
166,165,경기남양주,2021-01-01,2021-01-01,0.03,127.2580035,37.64296989,인근좌표
167,166,경기광주,2021-01-01,2021-01-01,0.07,127.2917767,37.4004581,인근좌표
168,167,경기파주,2021-01-02,2021-01-02,0.03,126.8077119,37.84944357,인근좌표
169,168,경기고양,2021-01-02,2021-01-02,0.01,126.8993676,37.66019018,인근좌표
170,169,경기포천,2021-01-03,2021-01-03,0.03,127.237579,37.96766787,인근좌표
171,170,경기의정부,2021-01-05,2021-01-05,0.05,127.0666545,37.73305139,인근좌표
172,171,경기양평,2021-01-06,2021-01-06,0.01,127.5810959,37.51899594,인근좌표
173,172,경기김포,2021-01-06,2021-01-06,0.02,126.6015557,37.68465337,인근좌표
174,173,경기파주,2021-11-04,2021-11-04,0.03,126.8077119,37.84944357,인근좌표
175,174,경기화성,2021-11-05,2021-11-05,0.03,126.9162557,37.15266119,인근좌표
176,175,경기안양,2021-11-06,2021-11-06,0.03,126.9027706,37.40454384,인근좌표
177,176,경기평택,2021-11-07,2021-11-07,0.1,127.0037131,37.02303199,인근좌표
178,177,경기고양,2021-12-04,2021-12-04,0.03,126.8993676,37.66019018,인근좌표
179,178,경기광주,2019-01-03,2019-01-03,0.05,127.2917767,37.4004581,인근좌표
180,179,경기평택,2019-01-07,2019-01-07,0.01,127.0037131,37.02303199,인근좌표
181,180,경기남양주,2019-01-07,2019-01-07,0.2,127.2580035,37.64296989,인근좌표
182,181,경기양평,2019-01-08,2019-01-08,0.8,127.5810959,37.51899594,인근좌표
183,182,경기파주,2019-01-09,2019-01-09,0.02,126.8077119,37.84944357,인근좌표
184,183,경기이천,2019-01-09,2019-01-09,0.1,127.4520008,37.20146617,인근좌표
185,184,경기하남,2019-11-05,2019-11-05,0.2,127.2110935,37.5303375,인근좌표
186,185,경기파주,2019-12-02,2019-12-02,0.04,126.8077119,37.84944357,인근좌표
187,186,경기안성,2019-12-03,2019-12-03,0.33,127.3059003,37.02476089,인근좌표
188,187,경기파주,2019-12-04,2019-12-04,0.08,126.8077119,37.84944357,인근좌표
189,188,경기가평,2019-12-04,2019-12-05,5,127.4076594,37.8112458,인근좌표
190,189,경기포천,2019-12-06,2019-12-06,0.03,127.237579,37.96766787,인근좌표
191,190,경기평택,2019-12-06,2019-12-06,0.02,127.0037131,37.02303199,인근좌표
192,191,경기화성,2019-12-07,2019-12-07,0.01,126.9162557,37.15266119,인근좌표
193,192,경기연천,2019-12-07,2019-12-07,0.2,127.0268198,38.08507414,인근좌표
194,193,경기구리,2019-12-08,2019-12-08,1.45,129.4206627,35.70495594,인근좌표
195,194,경기안산,2019-12-08,2019-12-08,0.02,126.8574791,37.32275536,인근좌표
196,195,경기용인,2019-12-08,2019-12-08,0.18,127.2400364,37.22209372,인근좌표
197,196,경기화성,2019-12-09,2019-12-09,0.16,126.9162557,37.15266119,인근좌표
198,197,경기광주,2019-12-09,2019-12-09,0.04,127.2917767,37.4004581,인근좌표
199,198,경기파주,2019-01-31,2019-01-31,0.05,126.8077119,37.84944357,인근좌표
200,199,경기남양주,2019-02-01,2019-02-01,0.01,127.2580035,37.64296989,인근좌표
201,200,경기구리,2019-02-07,2019-02-07,0.01,129.4206627,35.70495594,인근좌표
202,201,경기동두천,2019-02-08,2019-02-08,0.86,127.0669893,37.92058118,인근좌표
203,202,경기여주,2019-02-10,2019-02-10,0.12,127.644285,37.28762711,인근좌표
204,203,경기시흥,2019-02-11,2019-02-11,0.06,126.8335661,37.39397721,인근좌표
205,204,경기파주,2019-02-13,2019-02-13,0.02,126.8077119,37.84944357,인근좌표
206,205,경기오산,2019-02-13,2019-02-13,0.15,127.051305,37.1630728,인근좌표
207,206,경기동두천,2019-02-14,2019-02-14,0.8,127.0669893,37.92058118,인근좌표
208,207,경기하남,2019-02-14,2019-02-14,0.01,127.2110935,37.5303375,인근좌표
209,208,경기포천,2019-02-23,2019-02-23,0.2,127.237579,37.96766787,인근좌표
210,209,경기남양주,2019-02-23,2019-02-23,0.09,127.2580035,37.64296989,인근좌표
211,210,경기성남,2019-02-26,2019-02-26,0.01,127.1037334,37.43511843,인근좌표
212,211,경기남양주,2019-02-26,2019-02-26,0.03,127.2580035,37.64296989,인근좌표
213,212,경기구리,2019-03-01,2019-03-01,0.03,129.4206627,35.70495594,인근좌표
214,213,경기광주,2019-03-02,2019-03-02,0.05,127.2917767,37.4004581,인근좌표
215,214,경기남양주,2019-03-02,2019-03-02,0.16,127.2580035,37.64296989,인근좌표
216,215,경기양주,2019-03-02,2019-03-03,0.2,127.0141132,37.80569311,인근좌표
217,216,경기양평,2019-03-03,2019-03-03,0.06,127.5810959,37.51899594,인근좌표
218,217,경기하남,2019-03-03,2019-03-03,0.01,127.2110935,37.5303375,인근좌표
219,218,경기평택,2019-03-03,2019-03-03,0.01,127.0037131,37.02303199,인근좌표
